datetime,sym,price,size
2025.05.23D11:19:50.572233092,IBM,258,10
2025.05.23D11:19:50.626972478,IBM,258,8
2025.05.23D11:19:50.633618318,IBM,258,8
2025.05.23D11:19:52.199853095,IBM,258,8
2025.05.23D11:19:52.199994729,IBM,258,463
2025.05.23D11:19:52.199994729,IBM,258,10
2025.05.23D11:19:52.740327063,IBM,257.86,1
2025.05.23D11:19:52.740339140,IBM,257.76,6
2025.05.23D11:19:52.740351054,IBM,257.76,1
2025.05.23D11:19:52.748858392,IBM,257.76,8
2025.05.23D11:19:52.855708746,IBM,257.76,3
2025.05.23D11:20:00.260836016,IBM,257.76,8
2025.05.23D11:20:00.261007474,IBM,257.7,8
2025.05.23D11:20:00.261254014,IBM,257.7,1
2025.05.23D11:20:00.261275084,IBM,257.7,32
2025.05.23D11:20:01.438590466,IBM,257.63,10
2025.05.23D11:20:01.439673075,IBM,257.62,3
2025.05.23D11:20:01.439745233,IBM,257.6,1
2025.05.23D11:20:01.439757311,IBM,257.53,1
2025.05.23D11:20:01.439937727,IBM,257.6,1
2025.05.23D11:20:05.030036503,IBM,257.78,10
2025.05.23D11:20:13.944770458,IBM,258.07,5
2025.05.23D11:22:12.738087844,IBM,258,100
2025.05.23D11:36:59.198658832,IBM,257.52,1
2025.05.23D11:38:04.188538805,IBM,257.52,60
2025.05.23D11:38:04.188538805,IBM,257.55,40
2025.05.23D11:38:04.188586908,IBM,257.55,55
2025.05.23D11:38:06.570390999,IBM,257.5,100
2025.05.23D11:38:06.570393922,IBM,257.5,100
2025.05.23D11:38:06.570396611,IBM,257.5,55
2025.05.23D11:38:06.570399610,IBM,257.5,40
2025.05.23D11:38:06.570420694,IBM,257.49,10
2025.05.23D11:38:06.570465797,IBM,257.5,45
2025.05.23D11:38:06.570471802,IBM,257.5,1
2025.05.23D11:38:06.570474759,IBM,257.5,1
2025.05.23D11:38:06.570504893,IBM,257.49,10
2025.05.23D11:38:06.570522973,IBM,257.49,10
2025.05.23D11:38:06.570685274,IBM,257.49,10
2025.05.23D11:38:06.628855745,IBM,257.48,10
2025.05.23D11:40:16.923733064,IBM,257.6,1
