datetime,sym,bid_price,bid_size,ask_price,ask_size
2025.05.23D08:00:41.521206516,IBM,258.1,1,260.2,1
2025.05.23D08:00:43.212145071,IBM,254.76,4,260.2,1
2025.05.23D08:00:43.212155070,IBM,257.8,1,260.2,1
2025.05.23D08:00:43.272252953,IBM,257.8,1,260.1,1
2025.05.23D08:00:43.282246702,IBM,257.8,1,260,1
2025.05.23D08:00:43.353440896,IBM,257.8,1,263.77,3
2025.05.23D08:00:43.353455930,IBM,257.8,1,260.2,1
2025.05.23D08:00:43.393350666,IBM,257.9,1,260.2,1
2025.05.23D08:00:43.412360843,IBM,258.4,1,260.2,1
2025.05.23D08:00:43.843505581,IBM,254.76,4,260.2,1
2025.05.23D08:00:43.843515521,IBM,258.2,1,260.2,1
2025.05.23D08:00:43.898872154,IBM,258.4,1,260.2,1
2025.05.23D08:00:43.904194712,IBM,254.76,4,260.2,1
2025.05.23D08:00:43.904209739,IBM,258.3,1,260.2,1
2025.05.23D08:00:43.914659679,IBM,254.76,4,260.2,1
2025.05.23D08:00:43.914669740,IBM,257.8,1,260.2,1
2025.05.23D08:00:45.422347734,IBM,257.9,1,260.2,1
2025.05.23D08:00:45.432090819,IBM,258.4,1,260.2,1
2025.05.23D08:00:46.532455966,IBM,254.76,4,260.2,1
2025.05.23D08:00:46.532460969,IBM,258,1,260.2,1
2025.05.23D08:00:46.604056104,IBM,258.2,1,260.2,1
2025.05.23D08:00:50.341583508,IBM,258.3,1,260.2,1
2025.05.23D08:00:50.371484490,IBM,258.6,1,260.2,1
2025.05.23D08:00:50.709813620,IBM,258.6,1,260.1,1
2025.05.23D08:00:58.358616479,IBM,258.6,1,260,1
2025.05.23D08:00:58.607417726,IBM,258.6,1,263.77,3
2025.05.23D08:00:58.607427672,IBM,258.6,1,260.2,1
2025.05.23D08:00:58.657797420,IBM,258.6,1,260.1,1
2025.05.23D08:00:58.667796188,IBM,258.6,1,260,1
2025.05.23D08:01:00.056772125,IBM,254.76,4,260,1
2025.05.23D08:01:00.056787091,IBM,258.4,1,260,1
2025.05.23D08:01:00.109126474,IBM,258.6,1,260,1
2025.05.23D08:01:02.262439045,IBM,258.6,1,259.9,1
2025.05.23D08:01:32.495584243,IBM,254.76,4,259.9,1
2025.05.23D08:01:32.495594207,IBM,258.5,1,259.9,1
2025.05.23D08:01:32.495634280,IBM,254.76,4,259.9,1
2025.05.23D08:01:32.495644388,IBM,258,1,259.9,1
2025.05.23D08:01:32.501849142,IBM,258,1,263.77,3
2025.05.23D08:01:32.501859146,IBM,258,1,260,1
2025.05.23D08:01:32.550885666,IBM,258.1,1,260,1
2025.05.23D08:01:32.559992295,IBM,258.1,1,259.9,1
2025.05.23D08:01:32.569910807,IBM,258.4,1,259.9,1
2025.05.23D08:01:32.592589758,IBM,254.76,4,259.9,1
2025.05.23D08:01:32.592604826,IBM,258.1,1,259.9,1
2025.05.23D08:01:32.747026810,IBM,258.2,1,259.9,1
2025.05.23D08:01:33.390125158,IBM,258.2,1,263.77,3
2025.05.23D08:01:33.390135164,IBM,258.2,1,260,1
2025.05.23D08:01:33.397071658,IBM,254.76,4,260,1
2025.05.23D08:01:33.397081714,IBM,258,1,260,1
2025.05.23D08:01:33.397813396,IBM,258,1,263.77,3
2025.05.23D08:01:33.397823438,IBM,258,1,260.1,1
2025.05.23D08:01:33.401011049,IBM,258,1,263.77,3
2025.05.23D08:01:33.401025999,IBM,258,1,260.3,1
2025.05.23D08:01:33.453260221,IBM,258,1,260,1
2025.05.23D08:01:33.460572501,IBM,258,1,263.77,3
2025.05.23D08:01:33.460587599,IBM,258,1,260.2,1
2025.05.23D08:01:33.484875320,IBM,254.76,4,260.2,1
2025.05.23D08:01:33.484885356,IBM,257.9,1,260.2,1
2025.05.23D08:01:33.543895605,IBM,258,1,260.2,1
2025.05.23D08:01:33.543905599,IBM,258,1,260.1,1
2025.05.23D08:01:33.556004473,IBM,254.76,4,260.1,1
2025.05.23D08:01:33.556014327,IBM,257.9,1,260.1,1
2025.05.23D08:01:33.614959419,IBM,258,1,260.1,1
2025.05.23D08:01:33.614974515,IBM,258,1,260,1
2025.05.23D08:01:33.734393334,IBM,258.1,1,260,1
2025.05.23D08:01:33.743449842,IBM,258.4,1,260,1
2025.05.23D08:01:35.381101731,IBM,258.4,1,263.77,3
2025.05.23D08:01:35.381106707,IBM,258.4,1,260.1,1
2025.05.23D08:01:35.381913666,IBM,254.76,4,260.1,1
2025.05.23D08:01:35.381928758,IBM,258.3,1,260.1,1
2025.05.23D08:01:35.433726754,IBM,258.5,1,260.1,1
2025.05.23D08:01:35.457122448,IBM,258.5,1,260,1
2025.05.23D08:01:37.490289151,IBM,254.76,4,260,1
2025.05.23D08:01:37.490299238,IBM,258.2,1,260,1
2025.05.23D08:01:37.545550505,IBM,258.5,1,260,1
2025.05.23D08:01:54.264994993,IBM,258.5,1,263.77,3
2025.05.23D08:01:54.265005017,IBM,258.5,1,260.1,1
2025.05.23D08:01:54.314893655,IBM,258.6,1,260.1,1
2025.05.23D08:01:54.338940774,IBM,255,2,260.1,1
2025.05.23D08:01:54.338950801,IBM,258.4,1,260.1,1
2025.05.23D08:01:54.339081073,IBM,255,2,260.1,1
2025.05.23D08:01:54.339096067,IBM,258.2,1,260.1,1
2025.05.23D08:01:54.404982729,IBM,258.4,1,260.1,1
2025.05.23D08:01:54.424002856,IBM,258.4,1,260,1
2025.05.23D08:01:54.494049403,IBM,258.6,1,260,1
2025.05.23D08:01:59.321481935,IBM,258.6,1,259.9,1
2025.05.23D08:02:00.228958556,IBM,255,2,259.9,1
2025.05.23D08:02:00.228973581,IBM,258.4,1,259.9,1
2025.05.23D08:02:00.299050130,IBM,258.4,1,263.77,3
2025.05.23D08:02:00.299060223,IBM,258.4,1,260,1
2025.05.23D08:02:00.299095201,IBM,255,2,260,1
2025.05.23D08:02:00.299105225,IBM,258.2,1,260,1
2025.05.23D08:02:00.300102604,IBM,255,2,260,1
2025.05.23D08:02:00.300117706,IBM,258,1,260,1
2025.05.23D08:02:00.300553669,IBM,255,2,260,1
2025.05.23D08:02:00.300568799,IBM,257.7,1,260,1
2025.05.23D08:02:00.351815509,IBM,257.9,1,260,1
2025.05.23D08:02:00.368655598,IBM,257.9,1,263.77,3
2025.05.23D08:02:00.368665636,IBM,257.9,1,260.1,1
2025.05.23D08:02:00.410399712,IBM,258,1,260.1,1
2025.05.23D08:02:00.422478494,IBM,258.2,1,260.1,1
2025.05.23D08:02:00.682466399,IBM,255,2,260.1,1
2025.05.23D08:02:00.682481421,IBM,258.1,1,260.1,1
2025.05.23D08:02:00.778875529,IBM,258.1,1,260,1
2025.05.23D08:02:00.788879214,IBM,258.2,1,260,1
2025.05.23D08:02:00.900414397,IBM,258.3,1,260,1
2025.05.23D08:02:01.176585586,IBM,258.4,1,260,1
2025.05.23D08:02:01.350413826,IBM,255,2,260,1
2025.05.23D08:02:01.350428784,IBM,258.3,1,260,1
2025.05.23D08:02:01.411107945,IBM,258.4,1,260,1
2025.05.23D08:02:01.421562772,IBM,255,2,260,1
2025.05.23D08:02:01.421572855,IBM,258,1,260,1
2025.05.23D08:02:02.158128342,IBM,258,1,263.77,3
2025.05.23D08:02:02.158138324,IBM,258,1,260.1,1
2025.05.23D08:02:02.213620212,IBM,258,1,260,1
2025.05.23D08:02:02.281010366,IBM,258.2,1,260,1
2025.05.23D08:02:02.644419035,IBM,258.2,1,263.77,3
2025.05.23D08:02:02.644429085,IBM,258.2,1,260.1,1
2025.05.23D08:02:02.644454150,IBM,258.2,1,263.77,3
2025.05.23D08:02:02.644534258,IBM,258.2,1,260.3,1
2025.05.23D08:02:02.716094300,IBM,258.2,1,263.77,3
2025.05.23D08:02:02.716104395,IBM,258.2,1,260.7,1
2025.05.23D08:02:02.774367830,IBM,258.3,1,260.7,1
